minlen,maxlen,nsubtrees,nlabels,mean.n.types
0.0,0.1,2474,0.9839407232875014,1.0028294260307196
0.0,0.2,970,0.9942335415665545,1.011340206185567
0.0,0.3,479,0.9976903163801523,1.0208768267223383
0.0,0.4,355,0.998403373068159,1.0338028169014084
0.0,0.5,266,0.99893041496799,1.0526315789473684
0.0,0.6,194,0.9991629334532095,1.077319587628866
0.0,0.7,154,0.9994109531707771,1.0974025974025974
0.0,0.8,100,0.9995814667266048,1.15
0.0,0.9,87,0.9995814667266048,1.1954022988505748
0.0,1.0,81,0.9996124691913008,1.2098765432098766
0.0,1.1,23,0.999984498767652,1.7391304347826086
0.0,1.2,14,1.0,2.2142857142857144
0.0,1.3,8,1.0,3.375
0.0,1.4,7,1.0,3.857142857142857
0.0,1.5,7,1.0,3.857142857142857
0.0,1.6,6,1.0,4.333333333333333
0.0,1.7,5,1.0,5.2
0.0,1.8,3,1.0,8.333333333333334
0.0,1.9,3,1.0,8.333333333333334
0.0,2.0,3,1.0,8.333333333333334
0.01,0.1,2129,0.3375858380741269,0.9976514795678723
0.01,0.2,1450,0.5113701539272372,0.9993103448275862
0.01,0.3,912,0.6312256824417541,1.0032894736842106
0.01,0.4,687,0.6759777402303483,1.0058224163027656
0.01,0.5,522,0.7622731007115066,1.0153256704980842
0.01,0.6,357,0.9580691664987366,1.0336134453781514
0.01,0.7,297,0.9647346964083645,1.0437710437710437
0.01,0.8,249,0.9658042814403746,1.0522088353413654
0.01,0.9,91,0.9893196509122475,1.1758241758241759
0.01,1.0,85,0.9893816558416394,1.188235294117647
0.01,1.1,47,0.9995814667266048,1.3617021276595744
0.01,1.2,14,1.0,2.2142857142857144
0.01,1.3,8,1.0,3.375
0.01,1.4,7,1.0,3.857142857142857
0.01,1.5,7,1.0,3.857142857142857
0.01,1.6,6,1.0,4.333333333333333
0.01,1.7,5,1.0,5.2
0.01,1.8,3,1.0,8.333333333333334
0.01,1.9,3,1.0,8.333333333333334
0.01,2.0,3,1.0,8.333333333333334
0.02,0.1,960,0.13842600486738696,0.99375
0.02,0.2,759,0.26786129497295036,0.994729907773386
0.02,0.3,586,0.4054812357582428,1.0017064846416381
0.02,0.4,494,0.4306862395560447,1.008097165991903
0.02,0.5,415,0.5374122242718297,1.0192771084337349
0.02,0.6,359,0.7429895676706298,1.0306406685236769
0.02,0.7,269,0.8896157244500937,1.0483271375464684
0.02,0.8,182,0.9001410612143665,1.065934065934066
0.02,0.9,133,0.9296244051402086,1.112781954887218
0.02,1.0,51,0.9754150454961169,1.3333333333333333
0.02,1.1,30,0.9947605834663856,1.5666666666666667
0.02,1.2,14,1.0,2.2142857142857144
0.02,1.3,8,1.0,3.375
0.02,1.4,7,1.0,3.857142857142857
0.02,1.5,7,1.0,3.857142857142857
0.02,1.6,6,1.0,4.333333333333333
0.02,1.7,5,1.0,5.2
0.02,1.8,3,1.0,8.333333333333334
0.02,1.9,3,1.0,8.333333333333334
0.02,2.0,3,1.0,8.333333333333334
0.03,0.1,501,0.07567701632279766,0.9960079840319361
0.03,0.2,452,0.1857202647610485,1.0
0.03,0.3,393,0.27830912557548326,1.0101781170483461
0.03,0.4,335,0.32808358264482024,1.0208955223880598
0.03,0.5,286,0.3520329866224365,1.034965034965035
0.03,0.6,258,0.6665994946598255,1.050387596899225
0.03,0.7,200,0.8619925284060083,1.065
0.03,0.8,119,0.8788733704329494,1.1008403361344539
0.03,0.9,86,0.9134101161042303,1.1744186046511629
0.03,1.0,80,0.913549627195362,1.1875
0.03,1.1,28,0.9902187223884299,1.6071428571428572
0.03,1.2,21,0.9960626869836152,1.8095238095238095
0.03,1.3,8,1.0,3.375
0.03,1.4,7,1.0,3.857142857142857
0.03,1.5,7,1.0,3.857142857142857
0.03,1.6,6,1.0,4.333333333333333
0.03,1.7,5,1.0,5.2
0.03,1.8,3,1.0,8.333333333333334
0.03,1.9,3,1.0,8.333333333333334
0.03,2.0,3,1.0,8.333333333333334
0.04,0.1,301,0.04692223031731023,1.0
0.04,0.2,295,0.12152966160809785,1.006779661016949
0.04,0.3,270,0.19494349800809163,1.0222222222222221
0.04,0.4,242,0.2525460774131543,1.037190082644628
0.04,0.5,213,0.29556199717877574,1.056338028169014
0.04,0.6,195,0.46437041744818713,1.0717948717948718
0.04,0.7,148,0.8361209716172435,1.1013513513513513
0.04,0.8,80,0.864860256390383,1.175
0.04,0.9,58,0.9003425772348902,1.293103448275862
0.04,1.0,47,0.9007766117406334,1.3617021276595744
0.04,1.1,22,0.9694470710421479,1.8181818181818181
0.04,1.2,21,0.9694470710421479,1.8571428571428572
0.04,1.3,8,1.0,3.375
0.04,1.4,7,1.0,3.857142857142857
0.04,1.5,7,1.0,3.857142857142857
0.04,1.6,6,1.0,4.333333333333333
0.04,1.7,5,1.0,5.2
0.04,1.8,3,1.0,8.333333333333334
0.04,1.9,3,1.0,8.333333333333334
0.04,2.0,3,1.0,8.333333333333334
0.05,0.1,190,0.03222706205143309,0.9947368421052631
0.05,0.2,204,0.09621614918386012,1.0049019607843137
0.05,0.3,191,0.1499434205019299,1.0209424083769634
0.05,0.4,181,0.1970516656074158,1.0386740331491713
0.05,0.5,159,0.24713614732371222,1.0628930817610063
0.05,0.6,149,0.41654911565469455,1.080536912751678
0.05,0.7,129,0.772984452263955,1.1085271317829457
0.05,0.8,67,0.8625350715381873,1.208955223880597
0.05,0.9,50,0.899334997132272,1.34
0.05,1.0,37,0.9000015501232348,1.4594594594594594
0.05,1.1,37,0.9000015501232348,1.4594594594594594
0.05,1.2,36,0.9000015501232348,1.4722222222222223
0.05,1.3,8,1.0,3.375
0.05,1.4,7,1.0,3.857142857142857
0.05,1.5,7,1.0,3.857142857142857
0.05,1.6,6,1.0,4.333333333333333
0.05,1.7,5,1.0,5.2
0.05,1.8,3,1.0,8.333333333333334
0.05,1.9,3,1.0,8.333333333333334
0.05,2.0,3,1.0,8.333333333333334
0.06,0.1,112,0.01712886174450869,1.0
0.06,0.2,127,0.05309172079180295,1.0078740157480315
0.06,0.3,126,0.1251724512098712,1.0317460317460319
0.06,0.4,122,0.15876362170792577,1.040983606557377
0.06,0.5,107,0.23000728557920355,1.0934579439252337
0.06,0.6,103,0.23031731022616297,1.1067961165048543
0.06,0.7,93,0.5134783215265614,1.1290322580645162
0.06,0.8,46,0.851730712591651,1.3043478260869565
0.06,0.9,38,0.8831052068639457,1.4210526315789473
0.06,1.0,31,0.8839577746430841,1.5161290322580645
0.06,1.1,31,0.8839577746430841,1.5161290322580645
0.06,1.2,25,0.896637782703725,1.68
0.06,1.3,8,1.0,3.375
0.06,1.4,7,1.0,3.857142857142857
0.06,1.5,7,1.0,3.857142857142857
0.06,1.6,6,1.0,4.333333333333333
0.06,1.7,5,1.0,5.2
0.06,1.8,3,1.0,8.333333333333334
0.06,1.9,3,1.0,8.333333333333334
0.06,2.0,3,1.0,8.333333333333334
0.07,0.1,72,0.011796437816806437,1.0
0.07,0.2,89,0.039574646184371655,1.0112359550561798
0.07,0.3,92,0.11932848661468587,1.0326086956521738
0.07,0.4,88,0.1429523647129947,1.0454545454545454
0.07,0.5,85,0.19306784889398707,1.0823529411764705
0.07,0.6,79,0.22366728154888313,1.1265822784810127
0.07,0.7,76,0.29892576459828557,1.131578947368421
0.07,0.8,37,0.8483049402427493,1.3783783783783783
0.07,0.9,31,0.8797414394444358,1.5161290322580645
0.07,1.0,30,0.8797414394444358,1.5333333333333334
0.07,1.1,30,0.8797414394444358,1.5333333333333334
0.07,1.2,23,0.8946071212661406,1.7391304347826086
0.07,1.3,8,1.0,3.375
0.07,1.4,7,1.0,3.857142857142857
0.07,1.5,7,1.0,3.857142857142857
0.07,1.6,6,1.0,4.333333333333333
0.07,1.7,5,1.0,5.2
0.07,1.8,3,1.0,8.333333333333334
0.07,1.9,3,1.0,8.333333333333334
0.07,2.0,3,1.0,8.333333333333334
0.08,0.1,48,0.0046813721690874424,1.0
0.08,0.2,62,0.023313853451349384,1.0161290322580645
0.08,0.3,68,0.09714622312473842,1.0441176470588236
0.08,0.4,66,0.1294352901055634,1.0606060606060606
0.08,0.5,63,0.14975740571375423,1.1111111111111112
0.08,0.6,62,0.18426314892033915,1.1612903225806452
0.08,0.7,61,0.2596766442932213,1.1639344262295082
0.08,0.8,34,0.8454527134907225,1.411764705882353
0.08,0.9,26,0.8795089209592163,1.6153846153846154
0.08,1.0,25,0.8795089209592163,1.64
0.08,1.1,25,0.8795089209592163,1.64
0.08,1.2,18,0.8943746027809211,1.9444444444444444
0.08,1.3,8,1.0,3.375
0.08,1.4,7,1.0,3.857142857142857
0.08,1.5,7,1.0,3.857142857142857
0.08,1.6,6,1.0,4.333333333333333
0.08,1.7,5,1.0,5.2
0.08,1.8,3,1.0,8.333333333333334
0.08,1.9,3,1.0,8.333333333333334
0.08,2.0,3,1.0,8.333333333333334
0.09,0.1,30,0.002821224287330843,1.0
0.09,0.2,41,0.020306614375842878,1.024390243902439
0.09,0.3,47,0.08093193408876005,1.0638297872340425
0.09,0.4,45,0.11322100106958503,1.0888888888888888
0.09,0.5,42,0.13349661298073195,1.1666666666666667
0.09,0.6,41,0.16807986234905675,1.2439024390243902
0.09,0.7,41,0.24352436018663484,1.2439024390243902
0.09,0.8,32,0.8157833547767047,1.4375
0.09,0.9,26,0.8546294430407217,1.6153846153846154
0.09,1.0,25,0.8546294430407217,1.64
0.09,1.1,25,0.8546294430407217,1.64
0.09,1.2,17,0.8943280990838771,2.0
0.09,1.3,8,1.0,3.375
0.09,1.4,7,1.0,3.857142857142857
0.09,1.5,7,1.0,3.857142857142857
0.09,1.6,6,1.0,4.333333333333333
0.09,1.7,5,1.0,5.2
0.09,1.8,3,1.0,8.333333333333334
0.09,1.9,3,1.0,8.333333333333334
0.09,2.0,3,1.0,8.333333333333334
